tmdb_id,title,type
550,Fight Club,movie
27205,Inception,movie
157336,Interstellar,movie
155,The Dark Knight,movie
680,Pulp Fiction,movie
278,The Shawshank Redemption,movie
238,The Godfather,movie
603,The Matrix,movie
299536,Avengers Infinity War,movie
299534,Avengers Endgame,movie
496243,Parasite,movie
872585,Oppenheimer,movie
346698,Barbie,movie
438631,Dune,movie
693134,Dune Part Two,movie
1399,Game of Thrones,tv
66732,Stranger Things,tv
1396,Breaking Bad,tv
60574,Peaky Blinders,tv
71912,The Witcher,tv
82856,The Mandalorian,tv
100088,The Last of Us,tv
67178,The Boys,tv
119051,Wednesday,tv
85937,Demon Slayer,anime
1429,Attack on Titan,anime
46261,One Piece,anime
85933,Jujutsu Kaisen,anime
63926,My Hero Academia,anime
82096,Chainsaw Man,anime
